03 96 68 39 46 39 26 40 61 18
72 31 95 74 31 20 46 05 55 75 
15 69 47 03 09 85 90 95 58 38 
14 61 34 34 00 80 25 78 73 87 
48 45 70 44 71 01 64 17 58 71 
45 73 92 44 28 10 29 19 48 39 
57 14 00 43 00 53 75 25 83 48 
64 32 46 34 28 17 87 44 87 46 
15 32 71 07 76 00 60 58 71 85 
97 80 74 50 23 74 30 50 51 38 
51 68 22 97 54 50 66 94 94 53 
40 09 85 63 68 62 63 28 20 86 
88 17 66 62 67 89 88 22 40 40 
13 91 08 35 40 14 86 06 80 32 
60 00 94 97 64 62 11 79 91 31 
66 79 10 32 94 20 74 82 95 14 
74 08 57 34 95 97 49 33 55 57 
66 67 58 60 17 22 74 28 53 65 
12 71 97 13 40 91 85 78 73 80 
44 48 40 53 82 36 02 31 21 19 
